1333.63,Unsorted:,3.0871/213.249/658.322,2.11558/259.766/549.555,2.53948/470.082/1193.76,1.07651/182.621/196.592,2.14374/392.887/842.249,1.67266/439.473/735.088,2.12279/648.854/1377.38,
1333.63,Unsorted:,3.0871/213.249/658.322,2.11988/208.053/441.048,2.59406/418.336/1085.19,1.08523/138.492/150.296,2.28235/348.73/795.923,1.6887/343.57/580.186,2.21087/552.918/1222.43,
1333.63,Sorted:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.11988/208.053/441.048,2.15859/675.65/1458.45,2.18884/471.419/1031.86,2.64769/471.374/1248.05,3.08383/266.254/821.082,
1333.63,Sorted:,1.07651/182.621/196.592,1.67266/439.473/735.088,2.11558/259.766/549.555,2.12279/648.854/1377.38,2.14374/392.887/842.249,2.53948/470.082/1193.76,3.0871/213.249/658.322,
1333.63,Sorted:,1.08523/138.492/150.296,1.6887/343.57/580.186,2.11988/208.053/441.048,2.21087/552.918/1222.43,2.28235/348.73/795.923,2.59406/418.336/1085.19,3.0871/213.249/658.322,
1333.63,Filtered:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.15859/675.65/1458.45,
1333.63,Filtered:,1.07651/182.621/196.592,1.67266/439.473/735.088,2.12279/648.854/1377.38,
1333.63,Filtered:,1.08523/138.492/150.296,1.6887/343.57/580.186,2.21087/552.918/1222.43,
1333.63,Selected:,1,0,0,Total:734.334,OK,CLA:182.621,UUV:1,Config:0,true

