Type,Time,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA
Normal,374.292,,254.673,852.551,1.05623,5,96,,204.842,460.287,0.800305,3.97965,91.1625,,460.798,1306.34,1.36511,-1,-1,,202.792,232.894,0.651947,3.97965,90.375,,462.8,1078.94,1.25949,-1,-1,,413.643,686.681,1.01944,-1,-1,,669.944,1532.73,1.55556,-1,-1,,6,6,413.643,686.681,1.01944,3.5,3.86401,413.221
Normal,384.692,,254.673,852.551,1.06484,5,91,,202.696,455.512,0.801791,3.93599,90.91,,458.646,1301.56,1.37515,-1,-1,,186.247,214.301,0.641981,3.64079,90.1,,446.051,1060.35,1.25807,-1,-1,,413.433,663.314,1.39185,-1,-1,,651.025,1509.36,1.55556,-1,-1,,5,5,446.051,1060.35,1.25807,3.6,4.10153,413.221
Normal,394.986,,251.256,841.159,1.05313,4.92895,96.3429,,207.89,467.07,0.807135,4.04174,91.92,,460.428,1301.73,1.36881,-1,-1,,196.212,225.5,0.648284,3.84458,91.2,,452.685,1060.16,1.25269,-1,-1,,413.624,686.07,1.07615,-1,-1,,662.911,1520.73,1.55556,-1,-1,,6,6,413.624,686.07,1.07615,3.2,4.25174,413.221
Normal,404.878,,254.673,852.551,1.05609,5,96,,204.957,460.543,0.800397,3.98199,91.1625,,460.913,1306.59,1.36507,-1,-1,,202.905,233.022,0.651992,3.98199,90.375,,462.916,1079.07,1.2594,-1,-1,,413.876,687.065,1.01958,-1,-1,,670.175,1533.12,1.55556,-1,-1,,6,6,413.876,687.065,1.01958,3.5,4.09835,413.221
Normal,414.808,,254.673,852.551,1.06019,5,96.5714,,203.215,456.667,0.800064,3.94654,93,,459.166,1302.72,1.3688,-1,-1,,196.373,225.681,0.648289,3.84788,93,,456.303,1071.73,1.25976,-1,-1,,415.421,675.848,1.11075,-1,-1,,661.801,1521.9,1.55556,-1,-1,,6,6,415.421,675.848,1.11075,3,3.893,413.221
Normal,424.978,,254.673,852.551,1.05354,5,91,,207.071,465.246,0.802075,4.02504,90.91,,463.033,1311.3,1.36422,-1,-1,,204.998,235.373,0.652823,4.02504,90.1,,465.034,1081.42,1.2577,-1,-1,,416.929,694.12,1.00623,-1,-1,,674.431,1540.17,1.55556,-1,-1,,6,6,416.929,694.12,1.00623,3.6,3.87657,413.221
Normal,435.291,,254.673,852.551,1.06089,5,96.5714,,202.637,455.381,0.799596,3.93479,93,,458.587,1301.43,1.36903,-1,-1,,195.814,225.053,0.648062,3.83642,93,,455.737,1071.1,1.26024,-1,-1,,414.239,673.934,1.11005,-1,-1,,660.65,1519.98,1.55556,-1,-1,,6,6,414.239,673.934,1.11005,3,4.02403,413.221
Normal,445.385,,254.673,852.551,1.05648,5,96,,204.634,459.824,0.800139,3.97541,91.1625,,460.589,1305.87,1.3652,-1,-1,,202.585,232.662,0.651864,3.97541,90.375,,462.592,1078.71,1.25966,-1,-1,,413.223,685.986,1.01919,-1,-1,,669.524,1532.04,1.55556,-1,-1,,6,6,413.223,685.986,1.01919,3.5,4.05572,413.221
Normal,455.286,,254.673,852.551,1.05513,5,91,,204.128,458.698,0.798678,3.96511,90.91,,460.081,1304.75,1.3624,-1,-1,,206.901,237.512,0.654654,4.06423,90.1,,466.961,1083.56,1.26111,-1,-1,,415.879,689.71,1.00466,-1,-1,,673.382,1535.76,1.55556,-1,-1,,6,6,415.879,689.71,1.00466,3.6,3.86929,413.221
Normal,465.768,,254.673,852.551,1.05483,5,96,,207.611,466.447,0.80356,4.03604,91.1625,,463.574,1312.5,1.36698,-1,-1,,200.745,230.594,0.650069,3.9376,90.375,,460.729,1076.65,1.25623,-1,-1,,414.373,690.542,1.02083,-1,-1,,670.672,1536.59,1.55556,-1,-1,,6,6,414.373,690.542,1.02083,3.5,4.19278,413.221
Normal,475.586,,254.673,852.551,1.05851,5,96.2286,,201.366,452.553,0.796469,3.90895,91.6675,,457.312,1298.6,1.36354,-1,-1,,204.106,234.371,0.653537,4.00668,90.925,,464.131,1080.42,1.26334,-1,-1,,413.845,680.423,1.05181,-1,-1,,667.759,1526.47,1.55556,-1,-1,,6,6,413.845,680.423,1.05181,3.3,3.77786,413.221
Normal,485.951,,254.673,852.551,1.06052,5,96.5714,,199.696,448.836,0.795095,3.87502,93,,455.637,1294.89,1.36416,-1,-1,,202.535,232.605,0.65293,3.97437,93,,462.54,1078.66,1.26473,-1,-1,,418.219,674.942,1.11042,-1,-1,,664.48,1520.99,1.55556,-1,-1,,6,6,418.219,674.942,1.11042,3,4.07805,413.221
Normal,495.674,,254.673,852.551,1.05758,5,96.2286,,203.73,457.813,0.799416,3.95702,91.6675,,459.683,1303.86,1.36557,-1,-1,,201.691,231.657,0.651506,3.95702,90.925,,461.686,1077.71,1.26039,-1,-1,,413.789,682.97,1.05273,-1,-1,,667.705,1529.02,1.55556,-1,-1,,6,6,413.789,682.97,1.05273,3.3,3.69328,413.221
Normal,505.678,,254.673,852.551,1.05653,5,96.2286,,206.192,463.291,0.802431,4.00714,91.6675,,462.152,1309.34,1.36754,-1,-1,,199.372,229.051,0.649522,3.9094,90.925,,459.339,1075.1,1.25737,-1,-1,,413.931,685.842,1.05377,-1,-1,,667.847,1531.89,1.55556,-1,-1,,6,6,413.931,685.842,1.05377,3.3,3.46499,413.221
Normal,515.729,,254.673,852.551,1.0551,5,91,,205.78,462.374,0.801052,3.99874,90.91,,461.738,1308.42,1.36474,-1,-1,,203.72,233.937,0.652316,3.99874,90.1,,463.74,1079.99,1.25874,-1,-1,,414.329,689.81,1.00469,-1,-1,,671.832,1535.86,1.55556,-1,-1,,6,6,414.329,689.81,1.00469,3.6,3.51248,413.221
