1219.16,Changes?_APOLLO,,,,,0.076
1229.2,Control_APOLLO,,,,2.457,
1229.2,Changes?_APOLLO,,,,,0.048
1239.23,Control_APOLLO,,,,2.221,
1239.23,Changes?_APOLLO,,,,,0.054
1249.54,Control_APOLLO,,,,2.761,
1249.54,Changes?_APOLLO,,,,,0.053
1259.57,Control_APOLLO,,,,2.205,
1259.57,Changes?_APOLLO,,,,,0.049
1269.55,Control_APOLLO,,,,2.217,
1269.55,Changes?_APOLLO,,,,,0.056
1279.6,Control_APOLLO,,,,2.418,
1279.6,Changes?_APOLLO,,,,,0.05
1289.72,Control_APOLLO,,,,2.857,
1289.73,Changes?_APOLLO,,,,,0.073
1299.76,Control_APOLLO,,,,2.028,
1299.76,Changes?_APOLLO,,,,,0.077
1310.05,Control_APOLLO,,,,2.197,
1310.05,Changes?_APOLLO,,,,,0.053
1320.11,Control_APOLLO,,,,2.202,
1320.11,Changes?_APOLLO,,,,,0.097
1330.19,Control_APOLLO,,,,2.837,
1330.19,Changes?_APOLLO,,,,,0.113
1340.22,Control_APOLLO,,,,2.186,
1340.22,Changes?_APOLLO,,,,,0.052
1350.26,Control_APOLLO,,,,2.216,
1350.26,Changes?_APOLLO,,,,,0.074
1360.47,Control_APOLLO,,,,2.187,
1360.47,Changes?_APOLLO,,,,,0.051
1370.7,Control_APOLLO,,,,2.243,
1370.7,Changes?_APOLLO,,,,,0.049
1380.78,Control_APOLLO,,,,2.242,
1380.78,Changes?_APOLLO,,,,,0.05
1390.84,Control_APOLLO,,,,2.303,
1390.84,Changes?_APOLLO,,,,,0.053
1400.86,Control_APOLLO,,,,2.227,
1400.86,Changes?_APOLLO,,,,,0.05
1410.91,Control_APOLLO,,,,2.338,
1410.91,Changes?_APOLLO,,,,,0.052
1420.96,Control_APOLLO,,,,2.408,
1420.96,Changes?_APOLLO,,,,,0.05
1431.01,Control_APOLLO,,,,2.372,
1431.01,Changes?_APOLLO,,,,,0.055
1441.03,Control_APOLLO,,,,2.303,
1441.03,Changes?_APOLLO,,,,,0.05
1451.08,Control_APOLLO,,,,2.334,
1451.08,Changes?_APOLLO,,,,,0.05
1461.12,Control_APOLLO,,,,2.347,
1461.12,Changes?_APOLLO,,,,,0.059
1471.37,Control_APOLLO,,,,2.061,
1471.37,Changes?_APOLLO,,,,,0.053
1481.39,Control_APOLLO,,,,2.06,
1481.39,Changes?_APOLLO,,,,,0.058
1491.45,Control_APOLLO,,,,2.072,
1491.45,Changes?_APOLLO,,,,,0.05
