s, r2, r3, Result
2.0, 4.125, 4.404999999999999, 464.05580979282945
2.0, 4.125, 4.455, 466.6339395057963
2.0, 4.125, 4.505, 469.20913726393627
2.0, 4.125, 4.555, 471.78140542223247
2.0, 4.125, 4.6049999999999995, 474.35074897701054
2.0, 4.125, 4.654999999999999, 476.91717015393374
2.0, 4.1450000000000005, 4.305, 459.92894071382085
2.0, 4.1450000000000005, 4.3549999999999995, 462.5129573658503
2.0, 4.1450000000000005, 4.404999999999999, 465.094029360693
2.0, 4.1450000000000005, 4.455, 467.6721590721989
2.0, 4.1450000000000005, 4.505, 470.2473568303192
2.0, 4.1450000000000005, 4.555, 472.81962498863453
2.0, 4.1450000000000005, 4.6049999999999995, 475.388965784799
2.0, 4.1450000000000005, 4.654999999999999, 477.9553897188136
2.0, 4.165, 4.305, 460.9666857360449
2.0, 4.165, 4.3549999999999995, 463.550702388053
2.0, 4.165, 4.404999999999999, 466.13177172741
2.0, 4.165, 4.455, 468.7099040929904
2.0, 4.165, 4.505, 471.2851018511111
2.0, 4.165, 4.555, 473.8573700094248
2.0, 4.165, 4.6049999999999995, 476.42671080407604
2.0, 4.165, 4.654999999999999, 478.99313473809036
2.0, 4.1850000000000005, 4.305, 462.00395653789803
2.0, 4.1850000000000005, 4.3549999999999995, 464.58797318990776
2.0, 4.1850000000000005, 4.404999999999999, 467.16904252786276
2.0, 4.1850000000000005, 4.455, 469.7471748934422
2.0, 4.1850000000000005, 4.505, 472.32237265154356
2.0, 4.1850000000000005, 4.555, 474.8946380505504
2.0, 4.1850000000000005, 4.6049999999999995, 477.46398160306353
2.0, 4.1850000000000005, 4.654999999999999, 480.03040553707865
2.1, 3.805, 4.305, 441.1320652852022
2.1, 3.805, 4.3549999999999995, 443.70975742645663
2.1, 3.805, 4.404999999999999, 446.28451211742293
2.1, 3.805, 4.455, 448.856331932073
2.1, 3.805, 4.505, 451.42522676339024
2.1, 3.805, 4.555, 453.99119916497403
2.1, 3.805, 4.6049999999999995, 456.55425158302
2.1, 3.805, 4.654999999999999, 459.11439406390684
2.1, 3.825, 4.305, 442.1753622790709
2.1, 3.825, 4.3549999999999995, 444.7530544203072
2.1, 3.825, 4.404999999999999, 447.32780666762915
2.1, 3.825, 4.455, 449.899628924104
2.1, 3.825, 4.505, 452.46852375546155
2.1, 3.825, 4.555, 455.03449615704346
2.1, 3.825, 4.6049999999999995, 457.5975485731973
2.1, 3.825, 4.654999999999999, 460.1576910541018
2.1, 3.845, 4.305, 443.2181806564187
2.1, 3.845, 4.3549999999999995, 445.79587279767145
2.1, 3.845, 4.404999999999999, 448.3706250432234
2.1, 3.845, 4.455, 450.94244729969864
2.1, 3.845, 4.505, 453.5113421310563
2.1, 3.845, 4.555, 456.0773145326203
2.1, 3.845, 4.6049999999999995, 458.64036694694994
