Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp
Normal,184.97,,4,4,259.358,288.926,1.66667,3,0.309808,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.358,288.926,1.66667,4.92346,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,190.065,,4,4,258.755,288.278,1.66667,3,0.314584,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.755,288.278,1.66667,4.91134,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,195.18,,4,4,259.108,287.96,1.68966,2.9,0.332652,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94.2,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.1333,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.108,287.96,1.68966,4.9054,93.2333,2.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,200.42,,4,4,258.777,297.092,1.51282,3.9,0.450904,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.275,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.777,297.092,1.51282,5.07638,90.1525,3.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,205.641,,4,4,259.221,291.282,1.64516,3.1,0.437619,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.8,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.221,291.282,1.64516,4.96752,92.1725,3.1,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,210.749,,4,4,258.913,291.719,1.625,3.2,0.319968,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.6,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.913,291.719,1.625,4.9757,91.92,3.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,215.792,,4,4,259.061,287.909,1.68966,2.9,0.266096,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94.2,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.1333,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.061,287.909,1.68966,4.90445,93.2333,2.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,220.853,,4,4,258.658,290.671,1.64516,3.1,0.283922,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.8,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.658,290.671,1.64516,4.95609,92.1725,3.1,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,225.982,,4,4,259.807,289.409,1.66667,3,0.34428,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.807,289.409,1.66667,4.93248,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,231.055,,4,4,258.63,296.928,1.51282,3.9,0.290926,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.275,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.63,296.928,1.51282,5.07331,90.1525,3.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
